policy,seed,wait_seconds
batch,3,106.4000
batch,3,689.5000
batch,3,126.8000
batch,3,79.7000
batch,3,666.9000
batch,3,120.2000
batch,3,151.5000
batch,3,181.6000
batch,3,191.3000
batch,3,202.1000
batch,3,102.7000
batch,3,116.7000
batch,3,78.6000
batch,3,76.2000
batch,3,50.5000
batch,3,123.1000
batch,3,71.5000
batch,3,122.9000
batch,3,117.0000
batch,3,53.1000
batch,3,171.9000
batch,3,103.4000
batch,3,149.9000
batch,3,219.7000
batch,3,250.6000
batch,3,193.6000
batch,3,72.5000
batch,3,49.2000
batch,3,29.2000
batch,3,39.3000
batch,3,137.0000
batch,3,136.1000
batch,3,194.6000
batch,3,4.0000
batch,3,236.2000
batch,3,134.1000
batch,3,42.0000
batch,3,180.4000
batch,3,174.1000
batch,3,51.5000
batch,3,137.7000
batch,3,720.1000
batch,3,162.6000
batch,3,168.8000
batch,3,78.3000
batch,3,197.4000
batch,3,125.1000
batch,3,772.5000
batch,3,188.3000
batch,3,114.5000
batch,3,124.2000
batch,3,59.9000
batch,3,25.7000
batch,3,101.4000
batch,3,108.4000
batch,3,72.0000
batch,3,53.1000
batch,3,199.8000
batch,3,41.2000
batch,3,95.4000
batch,3,85.5000
batch,3,127.9000
batch,3,230.1000
batch,3,107.3000
batch,3,156.8000
batch,3,107.9000
batch,3,160.0000
batch,3,51.0000
batch,3,135.4000
batch,3,148.6000
batch,3,115.6000
batch,3,140.1000
batch,3,56.8000
batch,3,181.5000
batch,3,62.0000
batch,3,88.0000
batch,3,161.8000
batch,3,135.0000
batch,3,46.8000
batch,3,911.2000
batch,3,895.4000
batch,3,209.5000
batch,3,98.8000
batch,3,78.7000
batch,3,158.4000
batch,3,84.5000
batch,3,242.5000
batch,3,46.0000
batch,3,240.8000
batch,3,115.6000
batch,3,109.0000
batch,3,40.5000
batch,3,128.8000
batch,3,143.5000
batch,3,107.9000
batch,3,69.7000
batch,3,96.6000
batch,3,41.0000
batch,3,100.9000
batch,3,195.6000
batch,3,228.3000
batch,3,174.1000
batch,3,141.6000
batch,3,318.9000
batch,3,109.4000
batch,3,121.4000
batch,3,115.5000
batch,3,100.5000
batch,3,115.3000
batch,3,85.0000
batch,3,102.1000
batch,3,94.2000
batch,3,132.5000
batch,3,216.4000
batch,3,56.0000
batch,3,47.7000
batch,3,294.2000
batch,3,156.0000
batch,3,111.3000
batch,3,150.5000
batch,3,148.4000
batch,3,79.0000
batch,3,104.1000
batch,3,134.9000
batch,3,138.9000
batch,3,1017.9000
batch,3,203.5000
batch,3,55.1000
batch,3,155.5000
batch,3,187.6000
batch,3,118.1000
batch,3,112.5000
batch,3,74.8000
batch,3,123.4000
batch,3,146.6000
batch,3,184.4000
batch,3,212.2000
batch,3,68.7000
batch,3,124.1000
batch,3,518.1000
batch,3,43.7000
batch,3,275.1000
batch,3,79.1000
batch,3,116.0000
batch,3,166.1000
batch,3,65.3000
batch,3,191.2000
batch,3,248.4000
batch,3,240.8000
batch,3,86.9000
batch,3,101.8000
batch,3,228.4000
batch,3,40.3000
batch,3,1057.5000
batch,3,223.5000
batch,3,140.9000
batch,3,136.7000
batch,3,275.5000
batch,3,143.1000
batch,3,248.3000
batch,3,1037.0000
batch,3,28.7000
batch,3,602.6000
batch,3,99.0000
batch,3,322.0000
batch,3,930.2000
batch,3,117.3000
batch,3,265.7000
batch,3,76.8000
batch,3,137.3000
batch,3,156.1000
batch,3,336.0000
batch,3,248.5000
batch,3,1002.8000
batch,3,447.4000
batch,3,478.9000
batch,4,32.2000
batch,4,59.1000
batch,4,15.5000
batch,4,25.1000
batch,4,26.7000
batch,4,29.9000
batch,4,22.9000
batch,4,41.9000
batch,4,89.8000
batch,4,19.1000
batch,4,50.1000
batch,4,26.2000
batch,4,23.9000
batch,4,16.4000
batch,4,46.1000
batch,4,9.1000
batch,4,11.7000
batch,4,25.1000
batch,4,34.9000
batch,4,53.2000
batch,4,62.5000
batch,4,13.0000
batch,4,28.7000
batch,4,525.4000
batch,4,35.2000
batch,4,45.4000
batch,4,160.8000
batch,4,36.9000
batch,4,32.1000
batch,4,48.2000
batch,4,21.3000
batch,4,55.5000
batch,4,208.1000
batch,4,42.6000
batch,4,13.1000
batch,4,36.2000
batch,4,61.1000
batch,4,249.5000
batch,4,22.0000
batch,4,25.8000
batch,4,85.0000
batch,4,85.0000
batch,4,18.3000
batch,4,26.5000
batch,4,26.7000
batch,4,41.4000
batch,4,39.0000
batch,4,46.5000
batch,4,30.0000
batch,4,44.9000
batch,4,82.6000
batch,4,45.5000
batch,4,14.5000
batch,4,46.9000
batch,4,51.3000
batch,4,49.7000
batch,4,62.2000
batch,4,38.9000
batch,4,45.5000
batch,4,3.8000
batch,4,19.8000
batch,4,119.2000
batch,4,87.8000
batch,4,56.8000
batch,4,20.8000
batch,4,37.9000
batch,4,46.9000
batch,4,168.3000
batch,4,26.7000
batch,4,33.4000
batch,4,31.2000
batch,4,59.7000
batch,4,81.8000
batch,4,41.8000
batch,4,23.9000
batch,4,57.1000
batch,4,38.0000
batch,4,76.0000
batch,4,41.1000
batch,4,108.8000
batch,4,69.3000
batch,4,36.6000
batch,4,112.2000
batch,4,73.9000
batch,4,21.9000
batch,4,37.9000
batch,4,104.7000
batch,4,13.6000
batch,4,16.7000
batch,4,19.2000
batch,4,39.7000
batch,4,81.6000
batch,4,208.2000
batch,4,89.1000
batch,4,120.6000
batch,4,77.8000
batch,4,40.2000
batch,4,101.0000
batch,4,115.5000
batch,4,93.8000
batch,4,21.5000
batch,4,49.2000
batch,4,2.8000
batch,4,39.6000
batch,4,25.3000
batch,4,40.9000
batch,4,70.0000
batch,4,22.1000
batch,4,400.8000
batch,4,113.5000
batch,4,93.5000
batch,4,79.5000
batch,4,17.1000
batch,4,49.1000
batch,4,21.4000
batch,4,133.2000
batch,4,419.7000
batch,4,41.8000
batch,4,30.4000
batch,4,82.7000
batch,4,46.2000
batch,4,33.5000
batch,4,50.3000
batch,4,92.9000
batch,4,166.4000
